Arrondissement;nb_ventes_2020;prix_median_2020;prix_m2_median_2020;nb_ventes_2021;prix_median_2021;prix_m2_median_2021;nb_ventes_2022;prix_median_2022;prix_m2_median_2022;nb_ventes_2023;prix_median_2023;prix_m2_median_2023;nb_ventes_2024;prix_median_2024;prix_m2_median_2024;nb_ventes_2025;prix_median_2025;prix_m2_median_2025;nb_T1_2020;pct_T1_2020;nb_T2_2020;pct_T2_2020;nb_T3_2020;pct_T3_2020;nb_T4_2020;pct_T4_2020;nb_T5plus_2020;pct_T5plus_2020;nb_maison_2020;pct_maison_2020;nb_T1_2021;pct_T1_2021;nb_T2_2021;pct_T2_2021;nb_T3_2021;pct_T3_2021;nb_T4_2021;pct_T4_2021;nb_T5plus_2021;pct_T5plus_2021;nb_maison_2021;pct_maison_2021;nb_T1_2022;pct_T1_2022;nb_T2_2022;pct_T2_2022;nb_T3_2022;pct_T3_2022;nb_T4_2022;pct_T4_2022;nb_T5plus_2022;pct_T5plus_2022;nb_maison_2022;pct_maison_2022;nb_T1_2023;pct_T1_2023;nb_T2_2023;pct_T2_2023;nb_T3_2023;pct_T3_2023;nb_T4_2023;pct_T4_2023;nb_T5plus_2023;pct_T5plus_2023;nb_maison_2023;pct_maison_2023;nb_T1_2024;pct_T1_2024;nb_T2_2024;pct_T2_2024;nb_T3_2024;pct_T3_2024;nb_T4_2024;pct_T4_2024;nb_T5plus_2024;pct_T5plus_2024;nb_maison_2024;pct_maison_2024;nb_T1_2025;pct_T1_2025;nb_T2_2025;pct_T2_2025;nb_T3_2025;pct_T3_2025;nb_T4_2025;pct_T4_2025;nb_T5plus_2025;pct_T5plus_2025;nb_maison_2025;pct_maison_2025;evolution_prix_2020_2024_pct;evolution_prix_m2_2020_2024_pct;evolution_prix_2020_2021_pct;evolution_prix_2021_2022_pct;evolution_prix_2022_2023_pct;evolution_prix_2023_2024_pct;evolution_prix_2024_2025_pct;evolution_prix_m2_2020_2021_pct;evolution_prix_m2_2021_2022_pct;evolution_prix_m2_2022_2023_pct;evolution_prix_m2_2023_2024_pct;evolution_prix_m2_2024_2025_pct;tendance_prix_m2;evolution_annuelle_moyenne_pct;volatilite_prix_m2;evolution_volume_2020_2021_pct;evolution_volume_2021_2022_pct;evolution_volume_2022_2023_pct;evolution_volume_2023_2024_pct;evolution_volume_2024_2025_pct;nb_appartements_2024;nb_maisons_2024;pct_appartements;nb_pieces_moyen;nb_stations_metro;trafic_total_metro;nb_lignes_metro;lignes_metro;nb_lignes_rer;lignes_rer;no2_moyen;pm10_moyen;o3_moyen;qualite_air_dominante;population_2018;nb_menages_2018;nb_logements_2018;prix_m2_stats_2020;nb_logements_sociaux_apur;part_logements_sociaux_apur_pct;estimation_logement_social_pct
1;386;1139060;13511;896;1035000;13514;1090;1060886;13714;877;760000;13341;882;560000;12586;307;565000;12491;75;32.9;73;32.0;34;14.9;20;8.8;26;11.4;0;0.0;139;29.4;133;28.1;124;26.2;30;6.3;44;9.3;0;0.0;152;28.1;164;30.3;107;19.8;51;9.4;66;12.2;0;0.0;131;29.6;143;32.3;83;18.7;46;10.4;39;8.8;0;0.0;105;25.7;120;29.3;93;22.7;31;7.6;59;14.4;0;0.0;50;33.8;38;25.7;27;18.2;21;14.2;12;8.1;0;0.0;-50.8;-6.8;-9.1;2.5;-28.4;-26.3;0.9;0.0;1.5;-2.7;-5.7;-0.8;Stable;-1.5;2.5;132.1;21.7;-19.5;0.6;-65.2;409;0;100.0;2.6;7;33194770;6;1, 4, 7, 14, 11.0, 14.0;2.0;A, B;34.6;31.4;37.0;Moyenne;2175601;1140772;1386846;12404;1307;12.5;Faible (<10%)
2;526;420000;12647;1141;505000;12077;1228;607000;12115;1027;575240;11969;1125;659228;11444;428;680000;11666;133;43.9;97;32.0;42;13.9;20;6.6;11;3.6;0;0.0;260;39.5;232;35.2;102;15.5;41;6.2;23;3.5;0;0.0;227;36.1;220;35.0;117;18.6;48;7.6;17;2.7;0;0.0;203;37.5;202;37.3;71;13.1;39;7.2;26;4.8;0;0.0;194;38.0;176;34.4;76;14.9;46;9.0;17;3.3;0;0.0;90;38.1;84;35.6;45;19.1;11;4.7;6;2.5;0;0.0;57.0;-9.5;20.2;20.2;-5.2;14.6;3.2;-4.5;0.3;-1.2;-4.4;1.9;Stable;-1.6;2.6;116.9;7.6;-16.4;9.5;-62.0;511;0;100.0;2.1;4;10127675;4;3, 4, 8, 9;;;35.2;32.0;37.4;Moyenne;2175601;1140772;1386846;11403;893;6.7;Faible (<10%)
3;596;494450;12948;1610;650000;12849;1805;600000;12869;1647;588000;12526;1528;620000;12000;606;514625;12115;145;33.5;145;33.5;86;19.9;37;8.5;20;4.6;0;0.0;276;29.6;320;34.3;185;19.8;107;11.5;45;4.8;2;0.2;335;33.3;316;31.4;198;19.7;99;9.8;56;5.6;0;0.0;279;31.8;289;32.9;174;19.8;87;9.9;49;5.6;0;0.0;275;33.7;297;36.4;135;16.5;69;8.5;40;4.9;0;0.0;121;36.0;105;31.2;61;18.2;31;9.2;17;5.1;0;0.0;25.4;-7.3;31.5;-7.7;-2.0;5.4;-17.0;-0.8;0.2;-2.7;-4.2;1.0;Stable;-1.3;1.9;170.1;12.1;-8.8;-7.2;-60.3;816;0;100.0;2.2;6;12577486;4;3, 4, 8, 11;;;35.1;31.8;37.4;Moyenne;2175601;1140772;1386846;11694;1838;9.0;Faible (<10%)
4;570;650000;13944;1192;672073;13566;1865;865000;13420;1275;577884;13506;1189;600910;12932;579;636760;12994;146;36.1;126;31.2;81;20.0;32;7.9;18;4.5;0;0.0;196;30.9;199;31.3;117;18.4;51;8.0;71;11.2;0;0.0;285;31.3;286;31.4;180;19.8;105;11.5;53;5.8;1;0.1;203;31.7;228;35.6;114;17.8;44;6.9;50;7.8;0;0.0;201;30.6;192;29.3;122;18.6;69;10.5;69;10.5;0;0.0;94;31.3;95;31.7;51;17.0;36;12.0;23;7.7;0;0.0;-7.6;-7.3;3.4;28.7;-33.2;4.0;6.0;-2.7;-1.1;0.6;-4.2;0.5;Stable;-1.4;1.9;109.1;56.5;-31.6;-6.7;-51.3;656;0;100.0;2.5;6;15966790;4;1, 4, 7, 11;;;35.3;31.8;37.5;Moyenne;2175601;1140772;1386846;12150;2553;14.9;Faible (<10%)
5;664;520000;12933;1769;539000;13000;2335;549884;13166;2203;625000;12716;1914;520000;12000;770;545000;11773;159;32.1;164;33.1;96;19.4;47;9.5;30;6.0;0;0.0;298;28.0;356;33.5;211;19.8;104;9.8;91;8.6;6;0.6;397;32.1;409;33.1;230;18.6;106;8.6;92;7.4;4;0.3;382;32.6;339;28.9;259;22.1;98;8.4;80;6.8;1;0.1;356;34.7;286;27.9;192;18.7;109;10.6;78;7.6;1;0.1;148;38.3;121;31.3;63;16.3;31;8.0;21;5.4;2;0.5;0.0;-7.2;3.7;2.0;13.7;-16.8;4.8;0.5;1.3;-3.4;-5.6;-1.9;Stable;-1.8;2.5;166.4;32.0;-5.7;-13.1;-59.8;1024;1;99.9;2.3;5;10301086;3;4, 7, 10;1.0;B;34.5;31.6;37.5;Moyenne;2175601;1140772;1386846;11965;3267;9.9;Faible (<10%)
6;830;855250;15425;2129;1060000;15843;2673;1050500;15485;2295;800000;15486;1955;775000;14981;733;719000;14957;133;26.9;123;24.8;89;18.0;73;14.7;76;15.4;2;0.4;321;27.1;307;25.9;220;18.6;185;15.6;152;12.8;3;0.3;330;26.9;336;27.4;241;19.7;148;12.1;169;13.8;3;0.2;297;29.4;249;24.7;190;18.8;128;12.7;143;14.2;4;0.4;277;27.5;254;25.2;197;19.5;113;11.2;165;16.4;2;0.2;102;27.9;120;32.9;68;18.6;42;11.5;33;9.0;0;0.0;-9.4;-2.9;23.9;-0.9;-23.8;-3.1;-7.2;2.7;-2.3;0.0;-3.3;-0.2;Stable;-0.6;2.1;156.5;25.6;-14.1;-14.8;-62.5;1006;2;99.8;2.7;9;17494023;4;4, 7, 10, 12;;;34.1;31.4;37.4;Moyenne;2175601;1140772;1386846;13930;959;3.7;Faible (<10%)
7;951;1023895;14950;2651;1150000;15119;3775;1200000;15517;2820;1015000;15235;2629;1052200;14620;1246;1095000;15162;125;24.3;115;22.3;97;18.8;69;13.4;106;20.6;1;0.2;248;19.4;320;25.0;229;17.9;180;14.1;300;23.5;5;0.4;334;20.4;381;23.3;274;16.7;225;13.8;422;25.8;8;0.5;245;19.8;307;24.8;271;21.9;159;12.9;254;20.5;3;0.2;262;22.3;299;25.5;210;17.9;172;14.7;230;19.6;5;0.4;111;18.9;122;20.8;113;19.3;81;13.8;158;26.9;2;0.3;2.8;-2.2;12.3;4.3;-15.4;3.7;4.1;1.1;2.6;-1.8;-4.0;3.7;Stable;0.3;2.9;178.8;42.4;-25.3;-6.8;-52.6;1169;5;99.6;3.0;11;19713267;4;8, 10, 12, 13;;;34.9;31.6;37.3;Moyenne;2175601;1140772;1386846;13968;904;2.7;Faible (<10%)
8;1134;633550;13208;2721;852000;13222;3403;1095000;13137;2397;880000;13272;2797;770000;12500;1022;849000;12318;123;24.8;131;26.5;92;18.6;54;10.9;94;19.0;2;0.4;239;23.5;226;22.2;189;18.6;151;14.9;208;20.5;1;0.1;287;26.2;218;19.9;192;17.6;159;14.5;237;21.7;0;0.0;206;26.0;174;22.0;126;15.9;115;14.5;169;21.4;2;0.3;223;23.2;237;24.6;183;19.0;122;12.7;197;20.5;1;0.1;99;25.4;96;24.7;61;15.7;44;11.3;89;22.9;1;0.3;21.5;-5.4;34.5;28.5;-19.6;-12.5;10.3;0.1;-0.6;1.0;-5.8;-1.5;Stable;-1.4;2.4;139.9;25.1;-29.6;16.7;-63.5;961;1;99.9;3.0;15;72710440;12;1, 2, 3, 6, 8, 9, 12, 13, 14, 13.0, 14.0, 3bis;;;36.0;32.0;37.4;Moyenne;2175601;1140772;1386846;11731;955;3.9;Faible (<10%)
9;1122;560000;12504;3651;716150;12000;3762;664000;11981;2582;540000;11459;2718;570000;10712;1341;466826;10799;205;28.5;192;26.7;170;23.6;93;12.9;59;8.2;0;0.0;455;25.3;504;28.0;357;19.8;204;11.3;223;12.4;19;1.1;514;28.0;499;27.2;384;20.9;230;12.5;200;10.9;3;0.2;357;28.7;326;26.2;291;23.4;156;12.5;113;9.1;0;0.0;425;30.7;343;24.8;351;25.4;145;10.5;117;8.5;1;0.1;175;28.3;183;29.6;127;20.6;67;10.8;64;10.4;0;0.0;1.8;-14.3;27.9;-7.3;-18.7;5.6;-18.1;-4.0;-0.2;-4.4;-6.5;0.8;Baisse modérée;-2.9;2.7;225.4;3.0;-31.4;5.3;-50.7;1382;1;99.9;2.4;13;39341123;7;2, 3, 6, 7, 8, 9, 12;1.0;A;35.2;31.6;37.6;Moyenne;2175601;1140772;1386846;11069;2660;7.4;Faible (<10%)
10;1489;428000;11101;3874;424750;10933;5868;710000;10714;3667;410000;10119;3428;448472;9373;1397;387917;9485;327;31.2;336;32.0;237;22.6;101;9.6;46;4.4;0;0.0;637;27.5;812;35.0;537;23.2;227;9.8;96;4.1;0;0.0;874;29.4;1212;40.8;515;17.3;268;9.0;96;3.2;0;0.0;558;29.0;692;36.0;403;21.0;184;9.6;83;4.3;0;0.0;522;29.0;603;33.5;463;25.7;124;6.9;80;4.4;0;0.0;233;33.2;247;35.2;131;18.7;62;8.8;28;4.0;0;0.0;4.8;-15.6;-0.8;67.2;-42.3;9.4;-13.5;-1.5;-2.0;-5.6;-7.4;1.2;Baisse modérée;-3.0;3.0;160.2;51.5;-37.5;-6.5;-59.2;1799;0;100.0;2.3;10;72632038;8;2, 4, 5, 7, 8, 9, 11, 7bis;1.0;B;36.1;32.3;38.1;Moyenne;2175601;1140772;1386846;9957;8543;17.2;Faible (<10%)
