Arrondissement;population_2022;nb_menages_2022;nb_logements_2022;superficie_km2;densite_pop_km2;revenu_median;nb_logements_sociaux_apur;part_logements_sociaux_apur_pct;estimation_logement_social_pct;indice_accessibilite;indice_tension_sociale;indice_attractivite;indice_pression_immo
1;16266;9050;10200;1.83;8889.0;;1307;12.5;Moyen (10-20%);5.0;6.37;5.0;5.0
2;21559;11730;13100;0.99;21777.0;;893;6.7;Faible (<10%);5.0;7.04;5.0;5.0
3;34576;18100;20300;1.17;29552.0;;1838;9.0;Faible (<10%);5.0;6.77;5.0;5.0
4;28088;14900;16700;1.6;17555.0;;2553;14.9;Moyen (10-20%);5.0;6.09;5.0;5.0
5;58850;29400;33000;2.54;23169.0;;3267;9.9;Faible (<10%);5.0;6.67;5.0;5.0
6;41100;20800;23200;2.15;19116.0;;959;3.7;Faible (<10%);5.0;7.38;5.0;5.0
7;51367;26200;29400;4.09;12559.0;;904;2.7;Faible (<10%);5.0;7.5;5.0;5.0
8;36808;19900;22300;3.88;9487.0;;955;3.9;Faible (<10%);5.0;7.36;5.0;5.0
9;59555;30500;34300;2.18;27319.0;;2660;7.4;Faible (<10%);5.0;6.96;5.0;5.0
10;90372;45800;51500;2.89;31271.0;;8543;17.2;Moyen (10-20%);5.0;5.83;5.0;5.0
11;147476;74200;83400;3.67;40184.0;;13176;15.5;Moyen (10-20%);5.0;6.02;5.0;5.0
12;140694;70800;79500;16.32;8621.0;;20177;27.4;Élevé (>20%);5.0;4.65;5.0;5.0
13;181557;91000;102200;7.15;25393.0;;39162;43.8;Élevé (>20%);5.0;2.75;5.0;5.0
14;135964;68400;76900;5.64;24107.0;;22500;30.9;Élevé (>20%);5.0;4.24;5.0;5.0
15;233392;117200;131800;8.48;27523.0;;26183;20.6;Élevé (>20%);5.0;5.43;5.0;5.0
16;165446;83200;93500;16.31;10144.0;;6304;6.6;Faible (<10%);5.0;7.05;5.0;5.0
17;167288;84100;94500;5.67;29504.0;;16711;17.6;Moyen (10-20%);5.0;5.78;5.0;5.0
18;195104;97800;110200;6.01;32463.0;;25697;25.3;Élevé (>20%);5.0;4.89;5.0;5.0
19;184038;91500;103200;6.79;27104.0;;38390;46.0;Élevé (>20%);5.0;2.5;5.0;5.0
20;195814;97200;109400;5.98;32745.0;;39727;43.6;Élevé (>20%);5.0;2.78;5.0;5.0
