annee;mois;arrondissement_nom;ninsee;no2_mean;pm10_mean;o3_mean;qualite_air_majoritaire;indice_global_pollution;categorie_indice_global
2018.0;1.0;Paris 10e;75110;34.0;22.0;33.0;Bonne;30.200000000000003;Moyenne
2018.0;1.0;Paris 11e;75111;34.0;22.0;33.0;Bonne;30.200000000000003;Moyenne
2018.0;1.0;Paris 12e;75112;33.0;24.0;33.0;Moyenne;30.3;Moyenne
2018.0;1.0;Paris 13e;75113;30.0;22.0;33.0;Bonne;28.200000000000003;Moyenne
2018.0;1.0;Paris 14e;75114;29.0;22.0;34.0;Bonne;27.900000000000002;Moyenne
2018.0;1.0;Paris 15e;75115;29.0;22.0;35.0;Bonne;28.1;Moyenne
2018.0;1.0;Paris 16e;75116;29.0;20.0;35.0;Bonne;27.5;Moyenne
2018.0;1.0;Paris 17e;75117;30.0;22.0;33.0;Bonne;28.200000000000003;Moyenne
2018.0;1.0;Paris 18e;75118;35.0;22.0;34.0;Moyenne;30.900000000000002;Moyenne
2018.0;1.0;Paris 19e;75119;39.0;22.0;33.0;Moyenne;32.7;Moyenne
2018.0;1.0;Paris 1er;75101;34.5;22.5;33.5;Bonne;30.7;Moyenne
2018.0;1.0;Paris 20e;75120;36.0;22.0;33.0;Moyenne;31.200000000000003;Moyenne
2018.0;1.0;Paris 2e;75102;32.0;23.5;37.5;Bonne;30.55;Moyenne
2018.0;1.0;Paris 3e;75103;26.5;21.0;36.5;Bonne;26.85;Moyenne
2018.0;1.0;Paris 4e;75104;31.0;22.0;33.0;Bonne;28.700000000000003;Moyenne
2018.0;1.0;Paris 5e;75105;30.0;22.0;33.0;Bonne;28.200000000000003;Moyenne
2018.0;1.0;Paris 6e;75106;30.0;22.0;33.0;Bonne;28.200000000000003;Moyenne
2018.0;1.0;Paris 7e;75107;30.0;22.0;33.0;Bonne;28.200000000000003;Moyenne
2018.0;1.0;Paris 8e;75108;30.0;22.0;33.0;Bonne;28.200000000000003;Moyenne
2018.0;1.0;Paris 9e;75109;31.0;22.0;33.0;Bonne;28.700000000000003;Moyenne
2018.0;2.0;Paris 10e;75110;32.0;19.0;29.0;Bonne;27.5;Moyenne
2018.0;2.0;Paris 11e;75111;29.0;19.0;30.0;Bonne;26.2;Moyenne
2018.0;2.0;Paris 12e;75112;29.0;19.0;31.0;Bonne;26.4;Moyenne
2018.0;2.0;Paris 13e;75113;29.0;20.0;30.0;Bonne;26.5;Moyenne
2018.0;2.0;Paris 14e;75114;29.0;19.0;30.0;Bonne;26.2;Moyenne
2018.0;2.0;Paris 15e;75115;28.0;19.0;30.0;Bonne;25.7;Moyenne
2018.0;2.0;Paris 16e;75116;31.0;19.0;30.0;Bonne;27.2;Moyenne
2018.0;2.0;Paris 17e;75117;32.0;19.0;28.0;Bonne;27.3;Moyenne
2018.0;2.0;Paris 18e;75118;32.0;19.0;29.0;Bonne;27.5;Moyenne
2018.0;2.0;Paris 19e;75119;29.0;19.0;30.0;Bonne;26.2;Moyenne
2018.0;2.0;Paris 1er;75101;31.0;19.5;29.0;Bonne;27.150000000000002;Moyenne
2018.0;2.0;Paris 20e;75120;28.0;19.0;30.0;Bonne;25.7;Moyenne
2018.0;2.0;Paris 2e;75102;26.5;20.0;31.0;Bonne;25.45;Moyenne
2018.0;2.0;Paris 3e;75103;26.5;18.5;31.5;Bonne;25.1;Moyenne
2018.0;2.0;Paris 4e;75104;31.0;19.0;29.0;Bonne;27.0;Moyenne
2018.0;2.0;Paris 5e;75105;30.0;19.0;29.0;Bonne;26.5;Moyenne
2018.0;2.0;Paris 6e;75106;30.0;19.0;29.0;Bonne;26.5;Moyenne
2018.0;2.0;Paris 7e;75107;31.0;19.0;29.0;Bonne;27.0;Moyenne
2018.0;2.0;Paris 8e;75108;32.0;19.0;28.0;Bonne;27.3;Moyenne
2018.0;2.0;Paris 9e;75109;32.0;19.0;28.0;Bonne;27.3;Moyenne
2018.0;3.0;Paris 10e;75110;31.0;19.0;28.0;Bonne;26.8;Moyenne
2018.0;3.0;Paris 11e;75111;31.0;19.0;28.0;Bonne;26.8;Moyenne
2018.0;3.0;Paris 12e;75112;31.0;19.0;28.0;Bonne;26.8;Moyenne
2018.0;3.0;Paris 13e;75113;31.0;19.0;28.0;Bonne;26.8;Moyenne
2018.0;3.0;Paris 14e;75114;29.0;19.0;28.0;Bonne;25.8;Moyenne
2018.0;3.0;Paris 15e;75115;28.0;19.0;28.0;Bonne;25.3;Moyenne
2018.0;3.0;Paris 16e;75116;35.0;19.0;27.0;Bonne;28.6;Moyenne
2018.0;3.0;Paris 17e;75117;33.0;19.0;28.0;Bonne;27.8;Moyenne
2018.0;3.0;Paris 18e;75118;32.0;19.0;29.0;Bonne;27.5;Moyenne
2018.0;3.0;Paris 19e;75119;35.0;19.0;29.0;Bonne;29.0;Moyenne
2018.0;3.0;Paris 1er;75101;32.0;19.5;27.0;Bonne;27.25;Moyenne
2018.0;3.0;Paris 20e;75120;31.0;19.0;28.0;Bonne;26.8;Moyenne
2018.0;3.0;Paris 2e;75102;28.0;18.5;31.5;Bonne;25.85;Moyenne
2018.0;3.0;Paris 3e;75103;27.0;17.5;32.0;Bonne;25.15;Moyenne
2018.0;3.0;Paris 4e;75104;31.0;19.0;27.0;Bonne;26.6;Moyenne
2018.0;3.0;Paris 5e;75105;30.0;19.0;27.0;Bonne;26.1;Moyenne
2018.0;3.0;Paris 6e;75106;30.0;19.0;27.0;Bonne;26.1;Moyenne
2018.0;3.0;Paris 7e;75107;30.0;19.0;26.0;Bonne;25.9;Moyenne
2018.0;3.0;Paris 8e;75108;32.0;19.0;26.0;Bonne;26.9;Moyenne
2018.0;3.0;Paris 9e;75109;30.0;19.0;27.0;Bonne;26.1;Moyenne
2018.0;4.0;Paris 10e;75110;39.0;12.0;39.0;Moyenne;30.900000000000002;Moyenne
2018.0;4.0;Paris 11e;75111;39.0;12.0;39.0;Moyenne;30.900000000000002;Moyenne
2018.0;4.0;Paris 12e;75112;39.0;14.0;39.0;Moyenne;31.5;Moyenne
2018.0;4.0;Paris 13e;75113;39.0;15.0;38.0;Moyenne;31.6;Moyenne
2018.0;4.0;Paris 14e;75114;38.0;15.0;38.0;Moyenne;31.1;Moyenne
2018.0;4.0;Paris 15e;75115;37.0;15.0;38.0;Moyenne;30.6;Moyenne
2018.0;4.0;Paris 16e;75116;40.0;15.0;38.0;Moyenne;32.1;Moyenne
2018.0;4.0;Paris 17e;75117;39.0;14.0;39.0;Moyenne;31.5;Moyenne
2018.0;4.0;Paris 18e;75118;38.0;14.0;40.0;Moyenne;31.2;Moyenne
2018.0;4.0;Paris 19e;75119;38.0;12.0;40.0;Moyenne;30.6;Moyenne
2018.0;4.0;Paris 1er;75101;39.0;14.5;38.5;Moyenne;31.55;Moyenne
2018.0;4.0;Paris 20e;75120;38.0;12.0;39.0;Bonne;30.400000000000002;Moyenne
2018.0;4.0;Paris 2e;75102;31.5;13.5;40.5;Bonne;27.9;Moyenne
2018.0;4.0;Paris 3e;75103;35.0;13.5;40.5;Bonne;29.65;Moyenne
2018.0;4.0;Paris 4e;75104;39.0;14.0;38.0;Moyenne;31.3;Moyenne
2018.0;4.0;Paris 5e;75105;39.0;14.0;38.0;Moyenne;31.3;Moyenne
2018.0;4.0;Paris 6e;75106;39.0;14.0;38.0;Moyenne;31.3;Moyenne
2018.0;4.0;Paris 7e;75107;39.0;15.0;38.0;Moyenne;31.6;Moyenne
2018.0;4.0;Paris 8e;75108;39.0;14.0;38.0;Moyenne;31.3;Moyenne
2018.0;4.0;Paris 9e;75109;38.0;14.0;38.0;Moyenne;30.8;Moyenne
2018.0;5.0;Paris 10e;75110;34.0;20.0;35.0;Bonne;30.0;Moyenne
2018.0;5.0;Paris 11e;75111;35.0;20.0;35.0;Moyenne;30.5;Moyenne
2018.0;5.0;Paris 12e;75112;38.0;20.0;35.0;Moyenne;32.0;Moyenne
2018.0;5.0;Paris 13e;75113;35.0;22.0;34.0;Moyenne;30.900000000000002;Moyenne
2018.0;5.0;Paris 14e;75114;33.0;22.0;34.0;Bonne;29.900000000000002;Moyenne
2018.0;5.0;Paris 15e;75115;34.0;20.0;34.0;Bonne;29.8;Moyenne
2018.0;5.0;Paris 16e;75116;35.0;20.0;34.0;Bonne;30.3;Moyenne
