code_commune;annee;prix_m2_median;transactions_studio_t1;transactions_t2;transactions_t3;transactions_t4;transactions_t5_plus;transactions_total;part_studio_t1;part_t2;part_t3;part_t4;part_t5_plus;transactions_surface_bt_20_40;transactions_surface_bt_40_60;transactions_surface_bt_60_80;transactions_surface_bt_80_120;transactions_surface_gt_120;transactions_surface_lt_20;part_surface_lt_20;part_surface_bt_20_40;part_surface_bt_40_60;part_surface_bt_60_80;part_surface_bt_80_120;part_surface_gt_120;prix_m2_median_prev_year;variation;revenu_median;tx_logement_sociaux;no2;o3;pm10;qual_no2;qual_o3;qual_pm10;air_quality_global;densite_population
75101;2020;14461.7;71;60;32;19;14;196;36.22;30.61;16.33;9.69;7.14;65;40;19;28;18;26;13.27;33.16;20.41;9.69;14.29;9.18;;;40750.0;;16;25;7;Bon;Bon;Bon;Bon;8532.220909507188
75101;2021;14000.0;141;124;76;27;19;387;36.43;32.04;19.64;6.98;4.91;124;84;44;53;17;65;16.8;32.04;21.71;11.37;13.7;4.39;14461.7;-3.19;40750.0;;16;25;7;Bon;Bon;Bon;Bon;8532.220909507188
75101;2022;13968.308950086059;149;161;91;43;40;484;30.79;33.26;18.8;8.88;8.26;171;92;51;69;45;56;11.57;35.33;19.01;10.54;14.26;9.3;14000.0;-0.23;40750.0;;16;25;7;Bon;Bon;Bon;Bon;8532.220909507188
75101;2023;13242.630208333332;126;132;80;41;29;408;30.88;32.35;19.61;10.05;7.11;138;81;53;65;29;42;10.29;33.82;19.85;12.99;15.93;7.11;13968.308950086059;-5.2;40750.0;;16;25;7;Bon;Bon;Bon;Bon;8532.220909507188
75101;2024;12784.237726098188;101;117;60;30;24;332;30.42;35.24;18.07;9.04;7.23;88;82;42;53;22;45;13.55;26.51;24.7;12.65;15.96;6.63;13242.630208333332;-3.46;40750.0;;16;25;7;Bon;Bon;Bon;Bon;8532.220909507188
75101;2025;12380.833333333334;50;36;27;20;12;145;34.48;24.83;18.62;13.79;8.28;45;31;18;20;14;17;11.72;31.03;21.38;12.41;13.79;9.66;12784.237726098188;-3.16;40750.0;;16;25;7;Bon;Bon;Bon;Bon;8532.220909507188
75102;2020;12647.03947368421;124;93;42;17;8;284;43.66;32.75;14.79;5.99;2.82;109;51;29;26;9;60;21.13;38.38;17.96;10.21;9.15;3.17;;;36635.0;;17;26;9;Bon;Bon;Bon;Bon;20749.555867612868
75102;2021;12318.421052631578;245;216;101;37;18;617;39.71;35.01;16.37;6.0;2.92;245;122;52;54;24;120;19.45;39.71;19.77;8.43;8.75;3.89;12647.03947368421;-2.6;36635.0;;17;26;9;Bon;Bon;Bon;Bon;20749.555867612868
75102;2022;12193.181818181818;219;208;114;48;14;603;36.32;34.49;18.91;7.96;2.32;213;120;78;64;19;109;18.08;35.32;19.9;12.94;10.61;3.15;12318.421052631578;-1.02;36635.0;;17;26;9;Bon;Bon;Bon;Bon;20749.555867612868
75102;2023;11824.39024390244;193;184;68;37;25;507;38.07;36.29;13.41;7.3;4.93;191;107;47;53;22;87;17.16;37.67;21.1;9.27;10.45;4.34;12193.181818181818;-3.02;36635.0;;17;26;9;Bon;Bon;Bon;Bon;20749.555867612868
75102;2024;11810.646153846155;186;171;70;43;16;486;38.27;35.19;14.4;8.85;3.29;163;89;55;57;22;100;20.58;33.54;18.31;11.32;11.73;4.53;11824.39024390244;-0.12;36635.0;;17;26;9;Bon;Bon;Bon;Bon;20749.555867612868
75102;2025;12083.333333333334;87;81;44;8;5;225;38.67;36.0;19.56;3.56;2.22;85;40;22;24;6;48;21.33;37.78;17.78;9.78;10.67;2.67;11810.646153846155;2.31;36635.0;;17;26;9;Bon;Bon;Bon;Bon;20749.555867612868
75103;2020;13250.0;143;143;84;34;17;421;33.97;33.97;19.95;8.08;4.04;153;95;56;46;13;58;13.78;36.34;22.57;13.3;10.93;3.09;;;35540.0;;17;25;9;Bon;Bon;Bon;Bon;28177.029507780026
75103;2021;12986.152173913044;250;297;160;90;32;829;30.16;35.83;19.3;10.86;3.86;263;188;125;101;31;121;14.6;31.72;22.68;15.08;12.18;3.74;13250.0;-1.99;35540.0;;17;25;9;Bon;Bon;Bon;Bon;28177.029507780026
75103;2022;12787.425474254742;313;311;190;95;47;956;32.74;32.53;19.87;9.94;4.92;333;201;132;109;53;128;13.39;34.83;21.03;13.81;11.4;5.54;12986.152173913044;-1.53;35540.0;;17;25;9;Bon;Bon;Bon;Bon;28177.029507780026
75103;2023;12500.0;259;282;165;84;40;830;31.2;33.98;19.88;10.12;4.82;284;183;111;96;48;108;13.01;34.22;22.05;13.37;11.57;5.78;12787.425474254742;-2.25;35540.0;;17;25;9;Bon;Bon;Bon;Bon;28177.029507780026
75103;2024;12435.897435897436;251;278;125;63;34;751;33.42;37.02;16.64;8.39;4.53;267;167;94;88;33;102;13.58;35.55;22.24;12.52;11.72;4.39;12500.0;-0.51;35540.0;;17;25;9;Bon;Bon;Bon;Bon;28177.029507780026
75103;2025;12038.46153846154;121;104;58;29;17;329;36.78;31.61;17.63;8.81;5.17;113;62;42;37;18;57;17.33;34.35;18.84;12.77;11.25;5.47;12435.897435897436;-3.2;35540.0;;17;25;9;Bon;Bon;Bon;Bon;28177.029507780026
75104;2020;14310.276679841896;114;107;63;32;14;330;34.55;32.42;19.09;9.7;4.24;130;67;37;40;9;47;14.24;39.39;20.3;11.21;12.12;2.73;;;35540.0;;17;25;9;Bon;Bon;Bon;Bon;17676.6549962345
75104;2021;13583.333333333334;185;191;112;50;55;593;31.2;32.21;18.89;8.43;9.27;176;134;83;60;52;88;14.84;29.68;22.6;14.0;10.12;8.77;14310.276679841896;-5.08;35540.0;;17;25;9;Bon;Bon;Bon;Bon;17676.6549962345
75104;2022;13707.142857142857;208;216;155;83;38;700;29.71;30.86;22.14;11.86;5.43;252;147;94;95;37;75;10.71;36.0;21.0;13.43;13.57;5.29;13583.333333333334;0.91;35540.0;;17;25;9;Bon;Bon;Bon;Bon;17676.6549962345
75104;2023;13668.5;189;223;114;42;39;607;31.14;36.74;18.78;6.92;6.43;221;121;75;75;31;84;13.84;36.41;19.93;12.36;12.36;5.11;13707.142857142857;-0.28;35540.0;;17;25;9;Bon;Bon;Bon;Bon;17676.6549962345
75104;2024;13172.272727272728;200;188;114;66;51;619;32.31;30.37;18.42;10.66;8.24;199;134;70;81;46;89;14.38;32.15;21.65;11.31;13.09;7.43;13668.5;-3.63;35540.0;;17;25;9;Bon;Bon;Bon;Bon;17676.6549962345
75104;2025;12756.57894736842;89;88;50;36;19;282;31.56;31.21;17.73;12.77;6.74;93;55;34;44;14;42;14.89;32.98;19.5;12.06;15.6;4.96;13172.272727272728;-3.16;35540.0;;17;25;9;Bon;Bon;Bon;Bon;17676.6549962345
75105;2020;13010.0;157;157;93;43;23;473;33.19;33.19;19.66;9.09;4.86;168;103;60;45;16;81;17.12;35.52;21.78;12.68;9.51;3.38;;;38150.0;;16;26;9;Bon;Bon;Bon;Bon;22280.28881244999
75105;2021;13125.0;300;352;204;99;77;1032;29.07;34.11;19.77;9.59;7.46;343;221;130;128;53;157;15.21;33.24;21.41;12.6;12.4;5.14;13010.0;0.88;38150.0;;16;26;9;Bon;Bon;Bon;Bon;22280.28881244999
75105;2022;13125.0;379;392;221;99;74;1165;32.53;33.65;18.97;8.5;6.35;408;264;123;136;49;185;15.88;35.02;22.66;10.56;11.67;4.21;13125.0;0.0;38150.0;;16;26;9;Bon;Bon;Bon;Bon;22280.28881244999
75105;2023;12702.702702702703;349;310;206;93;67;1025;34.05;30.24;20.1;9.07;6.54;355;205;124;109;52;180;17.56;34.63;20.0;12.1;10.63;5.07;13125.0;-3.22;38150.0;;16;26;9;Bon;Bon;Bon;Bon;22280.28881244999
75105;2024;12148.757618377871;351;280;183;103;67;984;35.67;28.46;18.6;10.47;6.81;360;185;101;112;58;168;17.07;36.59;18.8;10.26;11.38;5.89;12702.702702702703;-4.36;38150.0;;16;26;9;Bon;Bon;Bon;Bon;22280.28881244999
75105;2025;11885.245901639344;150;113;62;29;19;373;40.21;30.29;16.62;7.77;5.09;128;82;33;39;14;77;20.64;34.32;21.98;8.85;10.46;3.75;12148.757618377871;-2.17;38150.0;;16;26;9;Bon;Bon;Bon;Bon;22280.28881244999
75106;2020;16223.93373493976;127;117;85;69;60;458;27.73;25.55;18.56;15.07;13.1;122;70;60;78;53;75;16.38;26.64;15.28;13.1;17.03;11.57;;;46350.0;;16;26;7;Bon;Bon;Bon;Bon;19139.41966182706
75106;2021;15707.806324110672;254;254;201;138;115;962;26.4;26.4;20.89;14.35;11.95;231;180;130;174;104;143;14.86;24.01;18.71;13.51;18.09;10.81;16223.93373493976;-3.18;46350.0;;16;26;7;Bon;Bon;Bon;Bon;19139.41966182706
75106;2022;15908.57142857143;322;322;220;140;137;1141;28.22;28.22;19.28;12.27;12.01;346;184;160;176;139;136;11.92;30.32;16.13;14.02;15.43;12.18;15707.806324110672;1.28;46350.0;;16;26;7;Bon;Bon;Bon;Bon;19139.41966182706
75106;2023;15788.095238095237;279;239;179;117;108;922;30.26;25.92;19.41;12.69;11.71;237;186;113;154;88;144;15.62;25.7;20.17;12.26;16.7;9.54;15908.57142857143;-0.76;46350.0;;16;26;7;Bon;Bon;Bon;Bon;19139.41966182706
75106;2024;15200.0;268;247;194;108;129;946;28.33;26.11;20.51;11.42;13.64;246;172;112;166;114;136;14.38;26.0;18.18;11.84;17.55;12.05;15788.095238095237;-3.72;46350.0;;16;26;7;Bon;Bon;Bon;Bon;19139.41966182706
75106;2025;15267.942583732056;93;117;65;39;28;342;27.19;34.21;19.01;11.4;8.19;92;78;48;39;37;48;14.04;26.9;22.81;14.04;11.4;10.82;15200.0;0.45;46350.0;;16;26;7;Bon;Bon;Bon;Bon;19139.41966182706
75107;2020;14772.727272727272;120;104;87;64;54;429;27.97;24.24;20.28;14.92;12.59;106;74;43;85;58;63;14.69;24.71;17.25;10.02;19.81;13.52;;;51255.0;;16;26;7;Bon;Bon;Bon;Bon;11955.334065673673
75107;2021;14933.63416244772;239;301;218;159;181;1098;21.77;27.41;19.85;14.48;16.48;270;174;140;195;206;113;10.29;24.59;15.85;12.75;17.76;18.76;14772.727272727272;1.09;51255.0;;16;26;7;Bon;Bon;Bon;Bon;11955.334065673673
75107;2022;15250.0;301;322;252;170;225;1270;23.7;25.35;19.84;13.39;17.72;305;217;160;234;224;130;10.24;24.02;17.09;12.6;18.43;17.64;14933.63416244772;2.12;51255.0;;16;26;7;Bon;Bon;Bon;Bon;11955.334065673673
