id_mutation,lot_numero,surface_carrez
2024-1190361,20,36.88
2024-1190364,10,66.09
2024-1190367,44,41.96
2024-1190372,50,90.42
2024-1190374,90,60.44
2024-1190375,8,22.09
2024-1190377,17,17.31
2024-1190380,6,40.41
2024-1190380,6,40.41
2024-1190382,246,32.46
2024-1190384,25,6.55
2024-1190385,29,70.59
2024-1190385,29,70.59
2024-1190386,11,51.4
2024-1190386,11,51.4
2024-1190387,24,127.74
2024-1190387,24,127.74
2024-1190388,36,16.83
2024-1190389,27,47.76
2024-1190389,27,47.76
2024-1190393,27,45.42
2024-1190393,27,45.42
2024-1190394,129,29.83
2024-1190397,6,43.39
2024-1190397,6,43.39
2024-1190398,7,32.0
2024-1190399,116,20.79
2024-1190399,116,20.79
2024-1190401,23,27.02
2024-1190401,23,27.02
2024-1190403,21,7.3
2024-1190409,2,52.88
2024-1190410,19,6.46
2024-1190411,23,4.38
2024-1190414,21,16.16
2024-1190417,15,41.22
2024-1190417,15,41.22
2024-1190418,23,44.15
2024-1190421,25,19.25
2024-1190422,36,25.38
2024-1190423,32,32.7
2024-1190426,19,10.85
2024-1190429,105,30.33
2024-1190429,105,30.33
2024-1190429,105,30.33
2024-1190436,16,27.0
2024-1190438,34,12.77
2024-1190439,209,39.65
2024-1190439,209,39.65
2024-1190440,41,15.15
2024-1190451,1033,42.86
2024-1190456,31,18.53
2024-1190456,31,18.53
2024-1190459,12,80.0
2024-1190478,5,41.03
2024-1190479,15,88.45
2024-1190479,15,88.45
2024-1190481,1112,41.03
2024-1190481,1112,41.03
2024-1190483,228,38.91
2024-1190485,8,64.39
2024-1190487,10,40.24
2024-1190487,10,40.24
2024-1190488,20,16.26
2024-1190496,14,11.56
2024-1190501,114,58.75
2024-1190502,159,42.93
2024-1190502,159,42.93
2024-1190503,947,13.04
2024-1190504,136,39.74
2024-1190504,136,39.74
2024-1190509,3044,34.01
2024-1190509,3044,34.01
2024-1190513,12,45.7
2024-1190513,12,45.7
2024-1190514,370,47.73
2024-1190518,25,254.09
2024-1190521,105,41.08
2024-1190521,105,41.08
2024-1190522,50,116.04
2024-1190526,23,31.03
2024-1190526,23,31.03
2024-1190529,34,13.53
2024-1190531,10,26.22
2024-1190531,10,26.22
2024-1190539,10,123.03
2024-1190539,10,123.03
2024-1190539,10,123.03
2024-1190540,191,30.06
2024-1190547,18,37.96
2024-1190547,18,37.96
2024-1190548,27,41.9
2024-1190548,27,41.9
2024-1190550,46,36.02
2024-1190559,59,56.94
2024-1190560,125,32.55
2024-1190560,125,32.55
2024-1190561,1,382.72
2024-1190564,32,38.3
2024-1190564,32,38.3
2024-1190565,13,58.57
2024-1190565,13,58.57
2024-1190566,29,19.57
2024-1190570,1,80.02
2024-1190573,17,6.41
2024-1190573,16,6.18
2024-1190575,19,7.38
2024-1190575,18,8.1
2024-1190575,13,15.47
2024-1190577,13,26.03
2024-1190577,13,26.03
2024-1190578,36,20.59
2024-1190579,10,31.01
2024-1190580,9,26.35
2024-1190588,18,110.06
2024-1190588,18,110.06
2024-1190594,47,4.29
2024-1190595,46,61.92
2024-1190603,53,22.32
2024-1190603,53,22.32
2024-1190604,70,6.0
2024-1190605,320,44.46
2024-1190606,72,48.62
2024-1190608,15,33.34
2024-1190608,15,33.34
2024-1190610,100,44.1
2024-1190611,22,26.12
2024-1190611,22,26.12
2024-1190612,67,20.66
2024-1190614,8,201.05
2024-1190614,8,201.05
2024-1190614,8,201.05
2024-1190614,8,201.05
2024-1190615,20,17.3
2024-1190616,101,33.29
2024-1190616,101,33.29
2024-1190617,21,123.51
2024-1190618,17,22.51
2024-1190618,17,22.51
2024-1190619,31,38.91
2024-1190619,13,129.04
2024-1190619,13,129.04
2024-1190620,32,68.29
2024-1190620,32,68.29
2024-1190621,4,58.4
2024-1190621,4,58.4
2024-1190623,10,19.11
2024-1190623,10,19.11
2024-1190624,56,28.22
2024-1190628,4,31.59
2024-1190636,1052,22.67
2024-1190641,12,73.72
2024-1190653,518,41.85
2024-1190654,159,72.39
2024-1190654,159,72.39
2024-1190655,11,24.34
2024-1190655,11,24.34
2024-1190660,148,10.0
2024-1190665,53,16.36
2024-1190665,53,16.36
2024-1190668,44,31.74
2024-1190668,44,31.74
2024-1190673,54,91.5
2024-1190673,54,91.5
2024-1190673,54,91.5
2024-1190677,12,62.0
2024-1190677,12,62.0
2024-1190680,39,63.42
2024-1190680,39,63.42
2024-1190687,38,38.45
2024-1190689,53,27.11
2024-1190689,53,27.11
2024-1190691,22,27.52
2024-1190693,39,22.9
2024-1190694,80,172.13
2024-1190694,80,172.13
2024-1190694,80,172.13
2024-1190696,43,50.74
2024-1190698,120,27.55
2024-1190698,120,27.55
2024-1190700,10,30.58
2024-1190700,10,30.58
2024-1190701,808,83.52
2024-1190701,808,83.52
2024-1190702,16,22.11
2024-1190706,13,69.58
2024-1190706,13,69.58
2024-1190706,13,69.58
2024-1190707,6,73.3
2024-1190709,28,13.8
2024-1190710,105,33.46
2024-1190712,1082,111.32
2024-1190712,1082,111.32
2024-1190716,279,53.24
2024-1190718,10,77.65
2024-1190718,10,77.65
2024-1190720,11,31.96
2024-1190721,4,38.14
2024-1190721,4,38.14
2024-1190722,10,130.46
2024-1190722,10,130.46
2024-1190722,10,130.46
2024-1190724,551,32.55
2024-1190724,551,32.55
