date,arrondissement_nom,ninsee,no2,o3,pm10,qualite_air,categorie_no2,categorie_pm10,categorie_o3
01/04/2018,Paris 1er,75101,30,33,22,Moyenne,Bonne,Moyenne,Bonne
01/04/2018,Paris 2e,75102,32,33,22,Moyenne,Bonne,Moyenne,Bonne
01/04/2018,Paris 3e,75103,32,33,22,Moyenne,Bonne,Moyenne,Bonne
01/04/2018,Paris 4e,75104,31,33,22,Moyenne,Bonne,Moyenne,Bonne
01/04/2018,Paris 5e,75105,30,33,22,Moyenne,Bonne,Moyenne,Bonne
01/04/2018,Paris 6e,75106,30,33,22,Moyenne,Bonne,Moyenne,Bonne
01/04/2018,Paris 7e,75107,30,33,22,Moyenne,Bonne,Moyenne,Bonne
01/04/2018,Paris 8e,75108,30,33,22,Moyenne,Bonne,Moyenne,Bonne
01/04/2018,Paris 9e,75109,31,33,22,Moyenne,Bonne,Moyenne,Bonne
01/04/2018,Paris 10e,75110,34,33,22,Moyenne,Bonne,Moyenne,Bonne
01/04/2018,Paris 11e,75111,34,33,22,Moyenne,Bonne,Moyenne,Bonne
01/04/2018,Paris 12e,75112,33,33,24,Moyenne,Bonne,Moyenne,Bonne
01/04/2018,Paris 13e,75113,30,33,22,Moyenne,Bonne,Moyenne,Bonne
01/04/2018,Paris 14e,75114,29,34,22,Moyenne,Bonne,Moyenne,Bonne
01/04/2018,Paris 15e,75115,29,35,22,Moyenne,Bonne,Moyenne,Bonne
01/04/2018,Paris 16e,75116,29,35,20,Bonne,Bonne,Bonne,Bonne
01/04/2018,Paris 17e,75117,30,33,22,Moyenne,Bonne,Moyenne,Bonne
01/04/2018,Paris 18e,75118,35,34,22,Moyenne,Bonne,Moyenne,Bonne
01/04/2018,Paris 19e,75119,39,33,22,Moyenne,Bonne,Moyenne,Bonne
01/04/2018,Paris 20e,75120,36,33,22,Moyenne,Bonne,Moyenne,Bonne
02/04/2018,Paris 1er,75101,31,28,19,Bonne,Bonne,Bonne,Bonne
02/04/2018,Paris 2e,75102,32,28,19,Bonne,Bonne,Bonne,Bonne
02/04/2018,Paris 3e,75103,31,29,19,Bonne,Bonne,Bonne,Bonne
02/04/2018,Paris 4e,75104,31,29,19,Bonne,Bonne,Bonne,Bonne
02/04/2018,Paris 5e,75105,30,29,19,Bonne,Bonne,Bonne,Bonne
02/04/2018,Paris 6e,75106,30,29,19,Bonne,Bonne,Bonne,Bonne
02/04/2018,Paris 7e,75107,31,29,19,Bonne,Bonne,Bonne,Bonne
02/04/2018,Paris 8e,75108,32,28,19,Bonne,Bonne,Bonne,Bonne
02/04/2018,Paris 9e,75109,32,28,19,Bonne,Bonne,Bonne,Bonne
02/04/2018,Paris 10e,75110,32,29,19,Bonne,Bonne,Bonne,Bonne
02/04/2018,Paris 11e,75111,29,30,19,Bonne,Bonne,Bonne,Bonne
02/04/2018,Paris 12e,75112,29,31,19,Bonne,Bonne,Bonne,Bonne
02/04/2018,Paris 13e,75113,29,30,20,Bonne,Bonne,Bonne,Bonne
02/04/2018,Paris 14e,75114,29,30,19,Bonne,Bonne,Bonne,Bonne
02/04/2018,Paris 15e,75115,28,30,19,Bonne,Bonne,Bonne,Bonne
02/04/2018,Paris 16e,75116,31,30,19,Bonne,Bonne,Bonne,Bonne
02/04/2018,Paris 17e,75117,32,28,19,Bonne,Bonne,Bonne,Bonne
02/04/2018,Paris 18e,75118,32,29,19,Bonne,Bonne,Bonne,Bonne
02/04/2018,Paris 19e,75119,29,30,19,Bonne,Bonne,Bonne,Bonne
02/04/2018,Paris 20e,75120,28,30,19,Bonne,Bonne,Bonne,Bonne
03/04/2018,Paris 1er,75101,30,26,19,Bonne,Bonne,Bonne,Bonne
03/04/2018,Paris 2e,75102,30,27,19,Bonne,Bonne,Bonne,Bonne
03/04/2018,Paris 3e,75103,31,27,19,Bonne,Bonne,Bonne,Bonne
03/04/2018,Paris 4e,75104,31,27,19,Bonne,Bonne,Bonne,Bonne
03/04/2018,Paris 5e,75105,30,27,19,Bonne,Bonne,Bonne,Bonne
03/04/2018,Paris 6e,75106,30,27,19,Bonne,Bonne,Bonne,Bonne
03/04/2018,Paris 7e,75107,30,26,19,Bonne,Bonne,Bonne,Bonne
03/04/2018,Paris 8e,75108,32,26,19,Bonne,Bonne,Bonne,Bonne
03/04/2018,Paris 9e,75109,30,27,19,Bonne,Bonne,Bonne,Bonne
03/04/2018,Paris 10e,75110,31,28,19,Bonne,Bonne,Bonne,Bonne
03/04/2018,Paris 11e,75111,31,28,19,Bonne,Bonne,Bonne,Bonne
03/04/2018,Paris 12e,75112,31,28,19,Bonne,Bonne,Bonne,Bonne
03/04/2018,Paris 13e,75113,31,28,19,Bonne,Bonne,Bonne,Bonne
