date;ninsee;no2;o3;pm10;arrondissement_nom;categorie_no2;categorie_pm10;categorie_o3;qualite_air
2018-04-01;75101;39;34;23;Paris 1er;Bonne;Moyenne;Moyenne;Moyenne
2018-04-01;75102;32;42;25;Paris 2e;Bonne;Moyenne;Moyenne;Moyenne
2018-04-01;75103;21;40;20;Paris 3e;Bonne;Moyenne;Moyenne;Bonne
2018-04-01;75101;30;33;22;Paris 1er;Bonne;Moyenne;Moyenne;Bonne
2018-04-01;75102;32;33;22;Paris 2e;Bonne;Moyenne;Moyenne;Bonne
2018-04-01;75103;32;33;22;Paris 3e;Bonne;Moyenne;Moyenne;Bonne
2018-04-01;75104;31;33;22;Paris 4e;Bonne;Moyenne;Moyenne;Bonne
2018-04-01;75105;30;33;22;Paris 5e;Bonne;Moyenne;Moyenne;Bonne
2018-04-01;75106;30;33;22;Paris 6e;Bonne;Moyenne;Moyenne;Bonne
2018-04-01;75107;30;33;22;Paris 7e;Bonne;Moyenne;Moyenne;Bonne
2018-04-01;75108;30;33;22;Paris 8e;Bonne;Moyenne;Moyenne;Bonne
2018-04-01;75109;31;33;22;Paris 9e;Bonne;Moyenne;Moyenne;Bonne
2018-04-01;75110;34;33;22;Paris 10e;Bonne;Moyenne;Moyenne;Bonne
2018-04-01;75111;34;33;22;Paris 11e;Bonne;Moyenne;Moyenne;Bonne
2018-04-01;75112;33;33;24;Paris 12e;Bonne;Moyenne;Moyenne;Moyenne
2018-04-01;75113;30;33;22;Paris 13e;Bonne;Moyenne;Moyenne;Bonne
2018-04-01;75114;29;34;22;Paris 14e;Bonne;Moyenne;Moyenne;Bonne
2018-04-01;75115;29;35;22;Paris 15e;Bonne;Moyenne;Moyenne;Bonne
2018-04-01;75116;29;35;20;Paris 16e;Bonne;Moyenne;Moyenne;Bonne
2018-04-01;75117;30;33;22;Paris 17e;Bonne;Moyenne;Moyenne;Bonne
2018-04-01;75118;35;34;22;Paris 18e;Bonne;Moyenne;Moyenne;Moyenne
2018-04-01;75119;39;33;22;Paris 19e;Bonne;Moyenne;Moyenne;Moyenne
2018-04-01;75120;36;33;22;Paris 20e;Bonne;Moyenne;Moyenne;Moyenne
2018-04-02;75101;31;30;20;Paris 1er;Bonne;Moyenne;Moyenne;Bonne
2018-04-02;75102;21;34;21;Paris 2e;Bonne;Moyenne;Moyenne;Bonne
2018-04-02;75103;22;34;18;Paris 3e;Bonne;Bonne;Moyenne;Bonne
2018-04-02;75101;31;28;19;Paris 1er;Bonne;Bonne;Bonne;Bonne
2018-04-02;75102;32;28;19;Paris 2e;Bonne;Bonne;Bonne;Bonne
2018-04-02;75103;31;29;19;Paris 3e;Bonne;Bonne;Bonne;Bonne
2018-04-02;75104;31;29;19;Paris 4e;Bonne;Bonne;Bonne;Bonne
2018-04-02;75105;30;29;19;Paris 5e;Bonne;Bonne;Bonne;Bonne
2018-04-02;75106;30;29;19;Paris 6e;Bonne;Bonne;Bonne;Bonne
2018-04-02;75107;31;29;19;Paris 7e;Bonne;Bonne;Bonne;Bonne
2018-04-02;75108;32;28;19;Paris 8e;Bonne;Bonne;Bonne;Bonne
2018-04-02;75109;32;28;19;Paris 9e;Bonne;Bonne;Bonne;Bonne
2018-04-02;75110;32;29;19;Paris 10e;Bonne;Bonne;Bonne;Bonne
2018-04-02;75111;29;30;19;Paris 11e;Bonne;Bonne;Moyenne;Bonne
2018-04-02;75112;29;31;19;Paris 12e;Bonne;Bonne;Moyenne;Bonne
2018-04-02;75113;29;30;20;Paris 13e;Bonne;Moyenne;Moyenne;Bonne
2018-04-02;75114;29;30;19;Paris 14e;Bonne;Bonne;Moyenne;Bonne
2018-04-02;75115;28;30;19;Paris 15e;Bonne;Bonne;Moyenne;Bonne
2018-04-02;75116;31;30;19;Paris 16e;Bonne;Bonne;Moyenne;Bonne
2018-04-02;75117;32;28;19;Paris 17e;Bonne;Bonne;Bonne;Bonne
2018-04-02;75118;32;29;19;Paris 18e;Bonne;Bonne;Bonne;Bonne
2018-04-02;75119;29;30;19;Paris 19e;Bonne;Bonne;Moyenne;Bonne
2018-04-02;75120;28;30;19;Paris 20e;Bonne;Bonne;Moyenne;Bonne
2018-04-03;75101;34;28;20;Paris 1er;Bonne;Moyenne;Bonne;Bonne
2018-04-03;75102;26;36;18;Paris 2e;Bonne;Bonne;Moyenne;Bonne
2018-04-03;75103;23;37;16;Paris 3e;Bonne;Bonne;Moyenne;Bonne
2018-04-03;75101;30;26;19;Paris 1er;Bonne;Bonne;Bonne;Bonne
2018-04-03;75102;30;27;19;Paris 2e;Bonne;Bonne;Bonne;Bonne
2018-04-03;75103;31;27;19;Paris 3e;Bonne;Bonne;Bonne;Bonne
2018-04-03;75104;31;27;19;Paris 4e;Bonne;Bonne;Bonne;Bonne
2018-04-03;75105;30;27;19;Paris 5e;Bonne;Bonne;Bonne;Bonne
2018-04-03;75106;30;27;19;Paris 6e;Bonne;Bonne;Bonne;Bonne
2018-04-03;75107;30;26;19;Paris 7e;Bonne;Bonne;Bonne;Bonne
2018-04-03;75108;32;26;19;Paris 8e;Bonne;Bonne;Bonne;Bonne
2018-04-03;75109;30;27;19;Paris 9e;Bonne;Bonne;Bonne;Bonne
2018-04-03;75110;31;28;19;Paris 10e;Bonne;Bonne;Bonne;Bonne
2018-04-03;75111;31;28;19;Paris 11e;Bonne;Bonne;Bonne;Bonne
2018-04-03;75112;31;28;19;Paris 12e;Bonne;Bonne;Bonne;Bonne
2018-04-03;75113;31;28;19;Paris 13e;Bonne;Bonne;Bonne;Bonne
2018-04-03;75114;29;28;19;Paris 14e;Bonne;Bonne;Bonne;Bonne
2018-04-03;75115;28;28;19;Paris 15e;Bonne;Bonne;Bonne;Bonne
2018-04-03;75116;35;27;19;Paris 16e;Bonne;Bonne;Bonne;Bonne
2018-04-03;75117;33;28;19;Paris 17e;Bonne;Bonne;Bonne;Bonne
2018-04-03;75118;32;29;19;Paris 18e;Bonne;Bonne;Bonne;Bonne
2018-04-03;75119;35;29;19;Paris 19e;Bonne;Bonne;Bonne;Bonne
2018-04-03;75120;31;28;19;Paris 20e;Bonne;Bonne;Bonne;Bonne
2018-04-04;75101;39;39;15;Paris 1er;Bonne;Bonne;Moyenne;Moyenne
2018-04-04;75102;24;43;13;Paris 2e;Bonne;Bonne;Moyenne;Bonne
2018-04-04;75103;31;43;15;Paris 3e;Bonne;Bonne;Moyenne;Bonne
2018-04-04;75101;39;38;14;Paris 1er;Bonne;Bonne;Moyenne;Moyenne
2018-04-04;75102;39;38;14;Paris 2e;Bonne;Bonne;Moyenne;Moyenne
2018-04-04;75103;39;38;12;Paris 3e;Bonne;Bonne;Moyenne;Bonne
2018-04-04;75104;39;38;14;Paris 4e;Bonne;Bonne;Moyenne;Moyenne
2018-04-04;75105;39;38;14;Paris 5e;Bonne;Bonne;Moyenne;Moyenne
2018-04-04;75106;39;38;14;Paris 6e;Bonne;Bonne;Moyenne;Moyenne
2018-04-04;75107;39;38;15;Paris 7e;Bonne;Bonne;Moyenne;Moyenne
2018-04-04;75108;39;38;14;Paris 8e;Bonne;Bonne;Moyenne;Moyenne
2018-04-04;75109;38;38;14;Paris 9e;Bonne;Bonne;Moyenne;Moyenne
2018-04-04;75110;39;39;12;Paris 10e;Bonne;Bonne;Moyenne;Moyenne
2018-04-04;75111;39;39;12;Paris 11e;Bonne;Bonne;Moyenne;Moyenne
2018-04-04;75112;39;39;14;Paris 12e;Bonne;Bonne;Moyenne;Moyenne
2018-04-04;75113;39;38;15;Paris 13e;Bonne;Bonne;Moyenne;Moyenne
2018-04-04;75114;38;38;15;Paris 14e;Bonne;Bonne;Moyenne;Moyenne
2018-04-04;75115;37;38;15;Paris 15e;Bonne;Bonne;Moyenne;Moyenne
2018-04-04;75116;40;38;15;Paris 16e;Moyenne;Bonne;Moyenne;Moyenne
2018-04-04;75117;39;39;14;Paris 17e;Bonne;Bonne;Moyenne;Moyenne
2018-04-04;75118;38;40;14;Paris 18e;Bonne;Bonne;Moyenne;Moyenne
2018-04-04;75119;38;40;12;Paris 19e;Bonne;Bonne;Moyenne;Moyenne
2018-04-04;75120;38;39;12;Paris 20e;Bonne;Bonne;Moyenne;Bonne
2018-04-05;75101;37;35;21;Paris 1er;Bonne;Moyenne;Moyenne;Moyenne
2018-04-05;75102;31;41;18;Paris 2e;Bonne;Bonne;Moyenne;Moyenne
2018-04-05;75103;41;38;18;Paris 3e;Moyenne;Bonne;Moyenne;Moyenne
2018-04-05;75101;33;34;20;Paris 1er;Bonne;Moyenne;Moyenne;Bonne
2018-04-05;75102;33;35;20;Paris 2e;Bonne;Moyenne;Moyenne;Bonne
2018-04-05;75103;33;35;20;Paris 3e;Bonne;Moyenne;Moyenne;Bonne
2018-04-05;75104;33;35;20;Paris 4e;Bonne;Moyenne;Moyenne;Bonne
2018-04-05;75105;32;34;22;Paris 5e;Bonne;Moyenne;Moyenne;Bonne
2018-04-05;75106;32;34;20;Paris 6e;Bonne;Moyenne;Moyenne;Bonne
2018-04-05;75107;34;34;20;Paris 7e;Bonne;Moyenne;Moyenne;Bonne
2018-04-05;75108;35;34;20;Paris 8e;Bonne;Moyenne;Moyenne;Bonne
2018-04-05;75109;34;35;20;Paris 9e;Bonne;Moyenne;Moyenne;Bonne
2018-04-05;75110;34;35;20;Paris 10e;Bonne;Moyenne;Moyenne;Bonne
2018-04-05;75111;35;35;20;Paris 11e;Bonne;Moyenne;Moyenne;Moyenne
2018-04-05;75112;38;35;20;Paris 12e;Bonne;Moyenne;Moyenne;Moyenne
2018-04-05;75113;35;34;22;Paris 13e;Bonne;Moyenne;Moyenne;Moyenne
2018-04-05;75114;33;34;22;Paris 14e;Bonne;Moyenne;Moyenne;Bonne
2018-04-05;75115;34;34;20;Paris 15e;Bonne;Moyenne;Moyenne;Bonne
2018-04-05;75116;35;34;20;Paris 16e;Bonne;Moyenne;Moyenne;Bonne
2018-04-05;75117;36;35;20;Paris 17e;Bonne;Moyenne;Moyenne;Moyenne
2018-04-05;75118;35;35;20;Paris 18e;Bonne;Moyenne;Moyenne;Moyenne
2018-04-05;75119;35;35;20;Paris 19e;Bonne;Moyenne;Moyenne;Moyenne
2018-04-05;75120;36;35;20;Paris 20e;Bonne;Moyenne;Moyenne;Moyenne
2018-04-06;75101;46;37;29;Paris 1er;Moyenne;Moyenne;Moyenne;Moyenne
2018-04-06;75102;25;44;25;Paris 2e;Bonne;Moyenne;Moyenne;Moyenne
2018-04-06;75103;40;41;31;Paris 3e;Moyenne;Moyenne;Moyenne;Moyenne
2018-04-06;75101;36;33;30;Paris 1er;Bonne;Moyenne;Moyenne;Moyenne
2018-04-06;75102;38;34;30;Paris 2e;Bonne;Moyenne;Moyenne;Moyenne
2018-04-06;75103;37;34;30;Paris 3e;Bonne;Moyenne;Moyenne;Moyenne
2018-04-06;75104;36;35;30;Paris 4e;Bonne;Moyenne;Moyenne;Moyenne
2018-04-06;75105;34;35;30;Paris 5e;Bonne;Moyenne;Moyenne;Moyenne
2018-04-06;75106;33;34;30;Paris 6e;Bonne;Moyenne;Moyenne;Moyenne
2018-04-06;75107;35;33;30;Paris 7e;Bonne;Moyenne;Moyenne;Moyenne
2018-04-06;75108;42;33;30;Paris 8e;Moyenne;Moyenne;Moyenne;Moyenne
2018-04-06;75109;41;33;29;Paris 9e;Moyenne;Moyenne;Moyenne;Moyenne
2018-04-06;75110;41;35;29;Paris 10e;Moyenne;Moyenne;Moyenne;Moyenne
2018-04-06;75111;38;36;29;Paris 11e;Bonne;Moyenne;Moyenne;Moyenne
2018-04-06;75112;38;38;29;Paris 12e;Bonne;Moyenne;Moyenne;Moyenne
2018-04-06;75113;34;36;29;Paris 13e;Bonne;Moyenne;Moyenne;Moyenne
2018-04-06;75114;31;35;29;Paris 14e;Bonne;Moyenne;Moyenne;Moyenne
2018-04-06;75115;34;33;29;Paris 15e;Bonne;Moyenne;Moyenne;Moyenne
2018-04-06;75116;45;32;30;Paris 16e;Moyenne;Moyenne;Moyenne;Moyenne
2018-04-06;75117;47;33;30;Paris 17e;Moyenne;Moyenne;Moyenne;Moyenne
2018-04-06;75118;45;35;27;Paris 18e;Moyenne;Moyenne;Moyenne;Moyenne
2018-04-06;75119;40;36;29;Paris 19e;Moyenne;Moyenne;Moyenne;Moyenne
2018-04-06;75120;38;36;29;Paris 20e;Bonne;Moyenne;Moyenne;Moyenne
2018-04-07;75101;42;38;27;Paris 1er;Moyenne;Moyenne;Moyenne;Moyenne
2018-04-07;75102;45;42;26;Paris 2e;Moyenne;Moyenne;Moyenne;Moyenne
2018-04-07;75103;34;39;25;Paris 3e;Bonne;Moyenne;Moyenne;Moyenne
2018-04-07;75101;35;35;29;Paris 1er;Bonne;Moyenne;Moyenne;Moyenne
2018-04-07;75102;34;36;29;Paris 2e;Bonne;Moyenne;Moyenne;Moyenne
2018-04-07;75103;35;36;29;Paris 3e;Bonne;Moyenne;Moyenne;Moyenne
2018-04-07;75104;35;36;29;Paris 4e;Bonne;Moyenne;Moyenne;Moyenne
2018-04-07;75105;33;36;29;Paris 5e;Bonne;Moyenne;Moyenne;Moyenne
2018-04-07;75106;33;36;29;Paris 6e;Bonne;Moyenne;Moyenne;Moyenne
2018-04-07;75107;38;35;29;Paris 7e;Bonne;Moyenne;Moyenne;Moyenne
2018-04-07;75108;36;35;29;Paris 8e;Bonne;Moyenne;Moyenne;Moyenne
2018-04-07;75109;33;36;29;Paris 9e;Bonne;Moyenne;Moyenne;Moyenne
2018-04-07;75110;34;37;29;Paris 10e;Bonne;Moyenne;Moyenne;Moyenne
2018-04-07;75111;37;37;29;Paris 11e;Bonne;Moyenne;Moyenne;Moyenne
2018-04-07;75112;42;39;29;Paris 12e;Moyenne;Moyenne;Moyenne;Moyenne
2018-04-07;75113;33;37;29;Paris 13e;Bonne;Moyenne;Moyenne;Moyenne
2018-04-07;75114;31;36;29;Paris 14e;Bonne;Moyenne;Moyenne;Moyenne
2018-04-07;75115;35;36;27;Paris 15e;Bonne;Moyenne;Moyenne;Moyenne
2018-04-07;75116;37;35;27;Paris 16e;Bonne;Moyenne;Moyenne;Moyenne
2018-04-07;75117;36;36;27;Paris 17e;Bonne;Moyenne;Moyenne;Moyenne
2018-04-07;75118;31;38;29;Paris 18e;Bonne;Moyenne;Moyenne;Moyenne
2018-04-07;75119;33;38;27;Paris 19e;Bonne;Moyenne;Moyenne;Moyenne
2018-04-07;75120;38;38;27;Paris 20e;Bonne;Moyenne;Moyenne;Moyenne
2018-04-08;75101;24;45;32;Paris 1er;Bonne;Moyenne;Mauvaise;Moyenne
2018-04-08;75102;20;47;29;Paris 2e;Bonne;Moyenne;Mauvaise;Moyenne
2018-04-08;75103;20;46;29;Paris 3e;Bonne;Moyenne;Mauvaise;Moyenne
2018-04-08;75101;22;43;30;Paris 1er;Bonne;Moyenne;Moyenne;Moyenne
2018-04-08;75102;22;43;32;Paris 2e;Bonne;Moyenne;Moyenne;Moyenne
2018-04-08;75103;21;43;32;Paris 3e;Bonne;Moyenne;Moyenne;Moyenne
2018-04-08;75104;22;43;32;Paris 4e;Bonne;Moyenne;Moyenne;Moyenne
