Arrondissement;Nombre_Stations;Trafic_Total;Nombre_Lignes_Metro;Nombre_Lignes_RER;Lignes_Metro;Lignes_RER;Toutes_Lignes
1;8;57295153;6;2;1, 4, 7, 14, 11.0, 14.0;A, B;1, 4, 7, A, B, 14, 11.0, 14.0
2;4;10127675;4;0;3, 4, 8, 9;;3, 4, 8, 9
3;6;12577486;4;0;3, 4, 8, 11;;3, 4, 8, 11
4;6;15966790;4;0;1, 4, 7, 11;;1, 4, 7, 11
5;7;16253720;3;1;4, 7, 10;B;4, 7, B, 10
6;9;17494023;4;0;4, 7, 10, 12;;4, 7, 10, 12
7;11;19713267;4;0;8, 10, 12, 13;;8, 10, 12, 13
8;15;72710440;12;0;1, 2, 3, 6, 8, 9, 12, 13, 14, 13.0, 14.0, 3bis;;1, 2, 3, 6, 8, 9, 12, 13, 14, 13.0, 14.0, 3bis
9;14;45890724;7;1;2, 3, 6, 7, 8, 9, 12;A;2, 3, 6, 7, 8, 9, A, 12
10;11;104734863;8;1;2, 4, 5, 7, 8, 9, 11, 7bis;B;2, 4, 5, 7, 8, 9, B, 11, 7bis
11;16;42107896;8;0;2, 3, 5, 8, 9, 11, 9.0, 11.0;;2, 3, 5, 8, 9, 11, 9.0, 11.0
12;21;112775167;8;1;1, 2, 5, 6, 8, 9, 14, 9.0;A;1, 2, 5, 6, 8, 9, A, 14, 9.0
13;18;54466958;5;0;5, 6, 7, 10, 14;;5, 6, 7, 10, 14
14;14;54157381;5;1;4, 6, 12, 13, 13.0;B;4, 6, B, 12, 13, 13.0
15;19;42680563;4;0;6, 8, 10, 12;;6, 8, 10, 12
16;20;38588088;5;0;1, 2, 6, 9, 10;;1, 2, 6, 9, 10
17;17;46567814;5;1;1, 2, 3, 13, 14;A;1, 2, 3, A, 13, 14
18;13;41870261;3;0;2, 4, 12;;2, 4, 12
19;15;32408205;5;0;2, 5, 7, 11, 7bis;;2, 5, 7, 11, 7bis
20;11;26999499;5;0;2, 3, 9, 11, 3bis;;2, 3, 9, 11, 3bis
