anneemut,nom_commune,code_commune,codgeo_2020,nbmut,nbmut_vente,nbmut_appart,nbmut_maison,vf_ventem,vf_ventea,vfmed_ventem,vfmed_ventea,vfm2_ventea,POP_2018,Nbre-menages_2018,Logement_2018
2014,PARIS 9E ARRONDISSEMENT,75056,75109,1431,1417,1035,,0.0,325530868,320000.0,349050,7980,2175601.0,1140772.0,1386846.10496083
2014,PARIS 13E ARRONDISSEMENT,75056,75113,1605,1468,1216,10.0,8541776.0,239746514,870000.0,269000,7227,2175601.0,1140772.0,1386846.10496083
2014,PARIS 20E ARRONDISSEMENT,75056,75120,2237,2171,1852,12.0,9756160.0,347781678,820000.0,226500,6521,2175601.0,1140772.0,1386846.10496083
2014,PARIS 18E ARRONDISSEMENT,75056,75118,3409,3333,2873,11.0,14097250.0,626950662,1070000.0,232500,7026,2175601.0,1140772.0,1386846.10496083
2014,PARIS 3E ARRONDISSEMENT,75056,75103,812,795,604,,0.0,198619668,,336000,8911,2175601.0,1140772.0,1386846.10496083
2014,PARIS 7E ARRONDISSEMENT,75056,75107,1109,1084,829,5.0,0.0,336199991,1700000.0,440000,11008,2175601.0,1140772.0,1386846.10496083
2014,PARIS 12E ARRONDISSEMENT,75056,75112,1841,1817,1443,,0.0,317581556,1060000.0,270000,7356,2175601.0,1140772.0,1386846.10496083
2014,PARIS 15E ARRONDISSEMENT,75056,75115,3577,3468,2824,7.0,6464400.0,679090864,1100000.0,309100,8030,2175601.0,1140772.0,1386846.10496083
2014,PARIS 19E ARRONDISSEMENT,75056,75119,2105,1815,1481,14.0,10324500.0,243537566,950000.0,234000,6324,2175601.0,1140772.0,1386846.10496083
2014,PARIS 4E ARRONDISSEMENT,75056,75104,544,529,412,,0.0,137708964,,370000,10156,2175601.0,1140772.0,1386846.10496083
2014,PARIS 5E ARRONDISSEMENT,75056,75105,883,878,701,,0.0,252624192,515500.0,331000,9775,2175601.0,1140772.0,1386846.10496083
2014,PARIS 11E ARRONDISSEMENT,75056,75111,2885,2806,2263,,0.0,494002566,650000.0,258000,7568,2175601.0,1140772.0,1386846.10496083
