id_mutation;code_commune;annee;valeur_fonciere;type_local;surface_reelle_bati;nombre_pieces_principales;prix_m2
2020-814508;75103;2020;148000.0;Appartement;12.0;1.0;12333.333333333334
2020-814510;75101;2020;270000.0;Appartement;27.0;2.0;10000.0
2020-814514;75101;2020;2603550.0;Appartement;137.0;6.0;19004.014598540147
2020-814515;75101;2020;1112000.0;Appartement;84.0;4.0;13238.095238095239
2020-814517;75101;2020;1670000.0;Appartement;120.0;5.0;13916.666666666666
2020-814519;75103;2020;1000.0;Appartement;60.0;4.0;16.666666666666668
2020-814522;75101;2020;314150.0;Appartement;24.0;1.0;13089.583333333334
2020-814523;75108;2020;891000.0;Appartement;70.0;3.0;12728.57142857143
2020-814524;75103;2020;1993000.0;Appartement;70.0;3.0;28471.428571428572
2020-814525;75108;2020;19440.0;Appartement;50.0;2.0;388.8
2020-814528;75108;2020;640000.0;Appartement;52.0;1.0;12307.692307692309
2020-814529;75103;2020;1778000.0;Appartement;125.0;4.0;14224.0
2020-814530;75108;2020;968000.0;Appartement;79.0;4.0;12253.164556962025
2020-814531;75108;2020;4.0;Appartement;65.0;4.0;0.06153846153846154
2020-814531;75108;2020;4.0;Appartement;27.0;3.0;0.14814814814814814
2020-814531;75108;2020;4.0;Appartement;20.0;2.0;0.2
2020-814532;75103;2020;102000.0;Appartement;100.0;4.0;1020.0
2020-814533;75101;2020;2000.0;Appartement;55.0;1.0;36.36363636363637
2020-814534;75103;2020;935000.0;Appartement;72.0;3.0;12986.111111111111
2020-814538;75103;2020;350000.0;Appartement;32.0;2.0;10937.5
2020-814539;75108;2020;1400000.0;Appartement;60.0;2.0;23333.333333333332
2020-814540;75108;2020;650000.0;Appartement;49.0;2.0;13265.30612244898
2020-814541;75103;2020;840820.0;Appartement;64.0;3.0;13137.8125
2020-814542;75108;2020;1400000.0;Appartement;98.0;3.0;14285.714285714286
2020-814544;75108;2020;400000.0;Appartement;32.0;2.0;12500.0
2020-814545;75103;2020;730000.0;Appartement;58.0;3.0;12586.206896551725
2020-814548;75101;2020;1010000.0;Appartement;110.0;5.0;9181.818181818182
2020-814550;75103;2020;480000.0;Appartement;51.0;2.0;9411.764705882353
2020-814551;75103;2020;458000.0;Appartement;30.0;1.0;15266.666666666666
