code_commune;tx_logement_sociaux
77051;24.0
91021;24.0
91330;6.0
91347;18.0
91593;0.0
95316;0.0
95370;11.0
77090;0.0
77173;0.0
77500;0.0
92062;32.0
77359;3.0
77475;11.0
78208;22.0
91184;0.0
77239;4.0
77298;0.0
77377;1.0
77471;0.0
77078;0.0
77131;32.0
77288;39.0
77531;5.0
91333;14.0
94058;13.0
91045;19.0
95446;4.0
77057;0.0
77284;38.0
77410;0.0
77444;0.0
77455;0.0
77506;0.0
77163;0.0
77312;1.0
75056;21.0
77009;0.0
77126;1.0
77228;0.0
77352;0.0
77467;0.0
78163;0.0
78350;21.0
78484;0.0
78601;0.0
78677;0.0
91689;9.0
93078;30.0
95523;0.0
77440;0.0
78417;0.0
77102;0.0
77164;0.0
95394;19.0
77016;44.0
77019;0.0
77338;6.0
78020;0.0
78113;0.0
78242;25.0
78474;0.0
78475;0.0
77212;0.0
77293;4.0
78638;13.0
91293;5.0
95331;0.0
77007;0.0
77286;0.0
77515;0.0
78217;20.0
78237;0.0
91226;5.0
91243;4.0
94068;9.0
77053;19.0
77083;42.0
77247;0.0
77267;0.0
77392;0.0
78255;24.0
78362;38.0
78464;2.0
91326;26.0
93005;32.0
95409;1.0
94003;44.0
77013;0.0
77357;0.0
78623;0.0
91363;18.0
77238;7.0
95026;5.0
95436;0.0
95539;19.0
77068;0.0
77463;0.0
78486;5.0
93048;37.0
94074;65.0
95023;0.0
95268;45.0
95304;0.0
77283;1.0
77137;0.0
77192;18.0
91016;12.0
91294;0.0
77458;23.0
93066;47.0
94038;25.0
77209;0.0
77257;42.0
91649;18.0
94037;52.0
95197;18.0
95212;0.0
77043;0.0
77307;15.0
78007;2.0
78383;21.0
77018;15.0
77143;24.0
77178;0.0
77248;0.0
77250;0.0
77290;0.0
77387;0.0
91248;0.0
91477;35.0
91577;10.0
93072;57.0
95611;0.0
77093;0.0
77403;0.0
78234;0.0
78490;26.0
91081;2.0
91111;3.0
91235;60.0
91461;25.0
92004;23.0
93057;16.0
93061;45.0
95355;28.0
77020;0.0
77072;7.0
77277;0.0
91135;11.0
92026;25.0
92064;17.0
77144;0.0
77349;14.0
77524;0.0
78285;0.0
78478;0.0
78548;0.0
91001;0.0
93074;24.0
94021;37.0
95199;18.0
95447;0.0
95580;8.0
77234;0.0
77379;35.0
77394;20.0
77484;0.0
78076;0.0
78230;0.0
77269;1.0
77321;5.0
77322;12.0
77434;0.0
91345;30.0
91553;15.0
93064;26.0
77049;0.0
77073;0.0
77174;0.0
77221;0.0
77327;35.0
78090;2.0
78346;0.0
78597;1.0
77466;0.0
77485;0.0
77495;22.0
78048;0.0
78073;20.0
78245;9.0
91377;35.0
95154;0.0
95352;15.0
95476;20.0
77182;28.0
95058;25.0
95141;0.0
77136;0.0
77185;0.0
77214;0.0
77344;7.0
78537;7.0
91386;23.0
91661;17.0
92050;54.0
95633;0.0
77140;0.0
77516;0.0
78227;0.0
77005;0.0
77508;1.0
93029;30.0
91662;0.0
95491;9.0
77240;9.0
77258;30.0
95282;0.0
95637;26.0
91195;0.0
91215;43.0
92071;25.0
95351;26.0
77154;0.0
77156;1.0
77195;0.0
77451;0.0
78082;0.0
78289;0.0
78561;0.0
91587;20.0
95040;0.0
95151;0.0
91085;9.0
91526;0.0
93071;42.0
95074;0.0
95462;0.0
95572;30.0
95598;22.0
91047;5.0
91095;2.0
91228;45.0
91482;0.0
91665;17.0
78152;0.0
78382;20.0
78423;26.0
92007;62.0
95211;2.0
78356;33.0
78640;19.0
91240;0.0
92002;21.0
94069;24.0
95176;17.0
77014;13.0
77129;0.0
77142;4.0
77201;0.0
77271;0.0
77421;0.0
78364;2.0
91075;0.0
91546;0.0
77038;0.0
77202;0.0
77231;0.0
77476;0.0
78034;0.0
78123;36.0
78128;0.0
78558;14.0
91544;0.0
91630;0.0
95369;9.0
95566;21.0
77473;0.0
78138;43.0
78437;0.0
91017;0.0
77151;0.0
77175;1.0
77287;0.0
77432;0.0
77441;5.0
77454;0.0
77464;25.0
77070;0.0
77353;0.0
78238;4.0
78325;0.0
78385;0.0
94028;39.0
95487;40.0
77104;0.0
77372;27.0
78442;7.0
77031;0.0
77066;0.0
77411;0.0
77453;1.0
77514;18.0
77533;2.0
78124;17.0
78334;0.0
78389;0.0
78472;0.0
77050;0.0
78118;24.0
91408;3.0
77237;7.0
77301;0.0
77459;3.0
78072;0.0
78262;0.0
77199;7.0
77452;0.0
77501;0.0
91132;0.0
94041;39.0
95014;15.0
95456;0.0
77099;5.0
77107;4.0
77220;0.0
77253;0.0
77317;21.0
77532;0.0
78530;0.0
91105;20.0
95306;19.0
95604;22.0
77062;0.0
77196;0.0
77436;0.0
77006;0.0
77190;0.0
77272;7.0
78616;11.0
94070;17.0
95078;6.0
77044;0.0
77382;7.0
77426;4.0
77428;0.0
77470;19.0
78302;0.0
78404;0.0
91179;18.0
95101;3.0
95392;16.0
77067;17.0
77138;0.0
77176;5.0
77259;24.0
77260;27.0
77364;0.0
95157;5.0
95214;0.0
77135;0.0
78498;36.0
92077;12.0
78384;1.0
78401;28.0
78531;23.0
77008;0.0
78015;17.0
95438;0.0
95527;18.0
78196;0.0
78576;4.0
77134;0.0
77309;2.0
77374;6.0
77395;0.0
77407;22.0
78036;0.0
78146;13.0
91359;0.0
91645;20.0
92047;18.0
94011;59.0
94054;53.0
77265;0.0
77343;0.0
77498;0.0
78120;7.0
95582;27.0
77069;2.0
77172;0.0
77275;0.0
77442;13.0
91338;9.0
91435;0.0
92036;62.0
95018;34.0
77026;0.0
77045;0.0
77510;6.0
78517;18.0
78551;19.0
91533;12.0
77060;0.0
77244;0.0
77276;18.0
77326;32.0
77350;16.0
77384;15.0
77507;9.0
78071;0.0
91121;0.0
92033;21.0
95139;0.0
91112;0.0
91421;23.0
91463;0.0
77297;0.0
78300;0.0
93049;21.0
94078;38.0
91284;2.0
95452;0.0
77348;0.0
77505;0.0
78162;0.0
78366;0.0
77004;0.0
77211;0.0
77332;0.0
77367;0.0
77457;0.0
78126;16.0
78528;15.0
91273;0.0
93047;23.0
95328;0.0
95592;0.0
95445;0.0
77534;0.0
78591;0.0
91249;5.0
91441;6.0
91600;19.0
92049;22.0
95170;0.0
95229;19.0
91599;0.0
77376;0.0
77465;0.0
77468;37.0
77509;0.0
78087;3.0
92060;30.0
95056;0.0
95166;0.0
95218;28.0
95563;15.0
91086;23.0
91581;0.0
94073;18.0
95480;10.0
95658;6.0
95682;0.0
77447;1.0
91631;9.0
95127;41.0
95430;17.0
77347;0.0
77449;18.0
77529;0.0
92019;42.0
93014;37.0
94060;26.0
95271;0.0
77218;15.0
77431;10.0
