code_commune;revenu_median
01004;18705.0
01033;21280.0
01053;20015.0
01173;34380.0
01283;17420.0
02168;17415.0
02173;16920.0
02408;17035.0
02691;16830.0
02722;14990.0
02738;17040.0
02810;19475.0
03095;19120.0
03185;18130.0
03190;18880.0
03310;18355.0
03321;22440.0
04070;20010.0
04112;22050.0
05023;20715.0
05061;20520.0
06004;23370.0
06012;22050.0
06027;24035.0
06029;20140.0
06030;20860.0
06033;20150.0
06069;23600.0
06079;23020.0
06083;22090.0
06084;26770.0
06085;27550.0
06088;20495.0
06104;25300.0
06123;24115.0
06149;21530.0
06152;30645.0
06155;20930.0
06157;25470.0
06161;25330.0
07010;17920.0
07019;17350.0
07102;23290.0
07324;20185.0
08105;17690.0
08409;14120.0
09225;18365.0
10081;13630.0
10323;16540.0
10333;20120.0
10362;20330.0
10387;17115.0
11069;15980.0
11076;17330.0
11203;16100.0
11206;18230.0
11262;18010.0
12145;17980.0
12176;19880.0
12202;20290.0
12300;19525.0
13001;26220.0
13002;28075.0
13004;18470.0
13005;20840.0
13007;26505.0
13014;17510.0
13015;31220.0
13026;22720.0
13027;20020.0
13028;21230.0
13039;21490.0
13041;22320.0
13047;22295.0
13054;20570.0
13056;20960.0
13063;17180.0
13071;24870.0
13075;25040.0
13077;17275.0
13081;22700.0
13097;22430.0
13100;20810.0
13103;20470.0
13106;22330.0
13108;16490.0
13110;25215.0
13117;21300.0
13201;14680.0
13202;10050.0
13203;8030.0
13204;18215.0
13205;18950.0
13206;23880.0
13207;24240.0
13208;28055.0
13209;24790.0
13210;18815.0
13211;19750.0
13212;25940.0
13213;17755.0
13214;10100.0
13215;10440.0
13216;17730.0
14047;20740.0
14118;22675.0
14327;14040.0
14341;21110.0
14366;17120.0
14762;19970.0
15014;21460.0
16015;17230.0
16102;20490.0
17299;18905.0
17300;21655.0
17306;22260.0
17415;19500.0
18033;21110.0
18197;18705.0
18279;18160.0
19031;20510.0
19272;19870.0
21054;22920.0
21166;13950.0
21171;22950.0
21231;22270.0
21617;21280.0
22050;20625.0
22093;22290.0
22113;21380.0
22187;22790.0
22215;20480.0
22278;20020.0
23096;20010.0
24037;17250.0
24053;22850.0
24322;18980.0
25031;16455.0
25056;20700.0
25388;16820.0
25462;22720.0
25580;20640.0
26057;20040.0
26058;20615.0
26198;20620.0
26235;20710.0
26281;18960.0
26362;20240.0
27056;18810.0
27229;17850.0
27284;19240.0
27375;18580.0
27467;16110.0
27681;20865.0
27701;13190.0
28085;22480.0
28088;17460.0
28134;16775.0
28218;19125.0
28229;21350.0
28280;20100.0
28404;18200.0
29019;20525.0
29039;21820.0
29046;19480.0
29075;23580.0
29103;21620.0
29151;18970.0
29189;25690.0
29212;23650.0
29232;21310.0
29233;20810.0
29235;25375.0
2A004;21675.0
2A247;18220.0
2B033;19000.0
30007;14950.0
30028;16710.0
30032;14080.0
30189;17270.0
30202;17565.0
30258;16530.0
30341;20850.0
30351;29205.0
31044;27630.0
31069;27590.0
31113;24325.0
31149;19740.0
31157;23220.0
31187;25330.0
31395;21310.0
31424;25860.0
31446;23330.0
31483;18570.0
31488;25805.0
31506;25950.0
31555;22240.0
31557;30100.0
31561;27630.0
32013;20610.0
33003;20240.0
33005;26040.0
33009;25200.0
33039;22440.0
33051;22430.0
33056;25850.0
33063;24585.0
33069;26240.0
33075;23630.0
33119;18330.0
33122;28000.0
33162;23920.0
33167;19775.0
33192;23540.0
33199;25670.0
33200;25160.0
33243;19420.0
33249;14290.0
33281;23830.0
33318;25665.0
33366;21760.0
33449;26590.0
33522;23820.0
33529;22660.0
33550;22955.0
34003;18120.0
34032;12350.0
34057;23700.0
34108;20445.0
34123;23125.0
34129;24970.0
34145;17235.0
34154;24835.0
34157;16770.0
34172;19620.0
34301;17935.0
35024;25835.0
35047;24600.0
35051;29140.0
35055;25580.0
35093;26970.0
35115;19160.0
35210;29725.0
35238;22970.0
35281;21640.0
35288;22715.0
35360;21940.0
36044;19585.0
36088;19620.0
37003;20520.0
37050;23410.0
37109;28070.0
37122;21305.0
37156;23560.0
37195;20620.0
37208;28000.0
37214;27370.0
37233;17800.0
37261;20795.0
38053;18640.0
38151;18255.0
38158;24210.0
38169;18855.0
38185;22200.0
38193;18660.0
38229;27260.0
38317;19580.0
38382;24440.0
38421;19930.0
38474;26190.0
38485;23090.0
38544;20630.0
38553;16020.0
38563;20460.0
39198;19890.0
39300;20160.0
39478;17540.0
40046;23430.0
40088;19205.0
40192;22060.0
40279;21140.0
40312;21710.0
41018;19925.0
41194;18920.0
41269;20390.0
42044;15875.0
42095;16770.0
42147;21290.0
42184;20830.0
42186;18040.0
42187;17890.0
42189;20880.0
42207;17060.0
42218;17010.0
42279;24010.0
43157;17350.0
44003;21255.0
44020;21820.0
44026;26580.0
44035;27520.0
44036;18265.0
44047;23090.0
44055;27485.0
44069;24395.0
44109;24670.0
44114;27660.0
44129;22050.0
44131;25440.0
44132;27285.0
44143;23320.0
44154;24090.0
44162;21920.0
44172;25370.0
44184;19775.0
44190;24480.0
44215;26950.0
45004;21870.0
45068;15370.0
45075;23210.0
45147;20400.0
45155;18500.0
45208;14210.0
45232;28110.0
45234;21485.0
45284;21500.0
45285;18245.0
45302;21935.0
46042;20790.0
47001;18000.0
47157;17485.0
47323;17230.0
48095;21300.0
49007;19505.0
49015;23830.0
49018;19290.0
49023;20200.0
49050;21650.0
49069;21560.0
49092;20330.0
49099;21480.0
49125;19530.0
49218;19620.0
49244;19600.0
49246;22550.0
49301;20580.0
49307;22820.0
49328;19845.0
49331;19500.0
49353;17950.0
50041;23550.0
50129;21260.0
50218;21545.0
50502;19960.0
51108;19220.0
51230;21020.0
51454;18645.0
51573;24060.0
51649;14800.0
52121;21645.0
52448;18000.0
53062;21160.0
53130;21070.0
53147;19850.0
54304;26640.0
54323;17200.0
54329;17760.0
54395;22640.0
54431;19315.0
54528;17355.0
54547;16910.0
54578;25670.0
55029;18845.0
55545;19050.0
56007;20010.0
56078;25515.0
56083;20685.0
56098;19480.0
56121;19690.0
56162;24625.0
56178;19720.0
56206;23470.0
56260;23340.0
57019;20380.0
57160;17835.0
57206;18930.0
57221;19865.0
57227;15420.0
57240;16800.0
57306;19610.0
57433;19600.0
57463;20620.0
57480;20925.0
57591;18895.0
57606;20580.0
57630;18120.0
57631;17935.0
57660;16920.0
57672;22825.0
57751;15520.0
57757;25020.0
58086;20980.0
58194;19000.0
59008;15370.0
59009;23275.0
59011;22460.0
59014;13540.0
59017;16250.0
59043;21600.0
59112;13910.0
59122;17545.0
59139;15280.0
59152;20950.0
59155;19240.0
59163;21870.0
59172;10020.0
59178;17335.0
59179;15745.0
59183;18995.0
59220;21510.0
59249;13725.0
59271;13680.0
59273;20070.0
59279;19035.0
59286;19860.0
59291;13550.0
59295;19290.0
59299;19080.0
59324;13980.0
59328;29565.0
59350;19270.0
59360;18545.0
59367;22570.0
59368;21280.0
