code_commune;densite_population
75101;8532.220909507188
75102;20749.555867612868
75103;28177.029507780022
75104;17676.6549962345
75105;22280.28881244999
75106;19139.41966182706
75107;11955.334065673671
75108;9261.76878840137
75109;27095.859736741822
75110;28476.977840662254
75111;38401.64901946223
75112;8624.14186742523
75113;25010.66154797924
75114;24669.817767169647
75115;27120.678107946107
75116;9883.865237617918
75117;28662.32906823087
75118;31110.641055958135
75119;26388.37128467241
75120;31516.11944490467
